Item,True,Estimate,AbsError,RelError,Algorithm
81,111,0,111,1.0,MisraGries
14,103,0,103,1.0,MisraGries
3,87,0,87,1.0,MisraGries
94,103,0,103,1.0,MisraGries
35,100,0,100,1.0,MisraGries
31,98,0,98,1.0,MisraGries
28,106,0,106,1.0,MisraGries
17,116,0,116,1.0,MisraGries
13,107,0,107,1.0,MisraGries
86,111,0,111,1.0,MisraGries
69,105,0,105,1.0,MisraGries
11,114,0,114,1.0,MisraGries
75,98,0,98,1.0,MisraGries
54,90,0,90,1.0,MisraGries
4,92,0,92,1.0,MisraGries
27,89,0,89,1.0,MisraGries
29,87,0,87,1.0,MisraGries
64,99,0,99,1.0,MisraGries
77,94,0,94,1.0,MisraGries
71,103,0,103,1.0,MisraGries
25,92,0,92,1.0,MisraGries
91,84,0,84,1.0,MisraGries
83,105,0,105,1.0,MisraGries
89,111,0,111,1.0,MisraGries
53,100,0,100,1.0,MisraGries
57,105,0,105,1.0,MisraGries
0,86,0,86,1.0,MisraGries
97,104,0,104,1.0,MisraGries
20,96,0,96,1.0,MisraGries
43,94,0,94,1.0,MisraGries
19,107,0,107,1.0,MisraGries
48,111,0,111,1.0,MisraGries
12,99,0,99,1.0,MisraGries
45,93,0,93,1.0,MisraGries
44,96,0,96,1.0,MisraGries
33,100,0,100,1.0,MisraGries
5,108,0,108,1.0,MisraGries
93,102,0,102,1.0,MisraGries
58,118,0,118,1.0,MisraGries
68,109,0,109,1.0,MisraGries
15,93,0,93,1.0,MisraGries
10,100,0,100,1.0,MisraGries
70,113,0,113,1.0,MisraGries
37,98,0,98,1.0,MisraGries
80,97,0,97,1.0,MisraGries
79,87,0,87,1.0,MisraGries
46,102,0,102,1.0,MisraGries
73,126,0,126,1.0,MisraGries
24,91,0,91,1.0,MisraGries
90,103,0,103,1.0,MisraGries
8,99,0,99,1.0,MisraGries
84,120,0,120,1.0,MisraGries
98,116,0,116,1.0,MisraGries
47,99,0,99,1.0,MisraGries
26,85,0,85,1.0,MisraGries
85,92,0,92,1.0,MisraGries
34,92,0,92,1.0,MisraGries
87,112,0,112,1.0,MisraGries
82,111,0,111,1.0,MisraGries
9,101,0,101,1.0,MisraGries
21,93,0,93,1.0,MisraGries
59,89,0,89,1.0,MisraGries
88,115,0,115,1.0,MisraGries
41,106,0,106,1.0,MisraGries
99,103,0,103,1.0,MisraGries
7,91,0,91,1.0,MisraGries
40,107,0,107,1.0,MisraGries
51,92,0,92,1.0,MisraGries
72,99,0,99,1.0,MisraGries
63,97,0,97,1.0,MisraGries
50,96,0,96,1.0,MisraGries
18,97,0,97,1.0,MisraGries
95,98,0,98,1.0,MisraGries
74,91,0,91,1.0,MisraGries
65,84,0,84,1.0,MisraGries
96,95,0,95,1.0,MisraGries
6,103,0,103,1.0,MisraGries
76,100,0,100,1.0,MisraGries
49,102,0,102,1.0,MisraGries
67,96,0,96,1.0,MisraGries
32,81,0,81,1.0,MisraGries
1,90,0,90,1.0,MisraGries
92,99,0,99,1.0,MisraGries
55,88,0,88,1.0,MisraGries
22,106,0,106,1.0,MisraGries
38,115,0,115,1.0,MisraGries
62,111,0,111,1.0,MisraGries
2,81,0,81,1.0,MisraGries
39,92,0,92,1.0,MisraGries
30,100,0,100,1.0,MisraGries
16,100,0,100,1.0,MisraGries
60,115,0,115,1.0,MisraGries
56,103,0,103,1.0,MisraGries
66,98,0,98,1.0,MisraGries
42,96,0,96,1.0,MisraGries
52,101,0,101,1.0,MisraGries
23,89,0,89,1.0,MisraGries
61,93,0,93,1.0,MisraGries
36,103,0,103,1.0,MisraGries
78,115,0,115,1.0,MisraGries
81,111,111,0,0.0,CountMinSketch
14,103,103,0,0.0,CountMinSketch
