Algorithm,MemorySize,MeanAbsError,MeanRelError,Runtime,Precision@10,Recall@10,F1@10
MisraGries,20,15.587243607754987,0.9997708898395866,0.04993581771850586,0.1,0.1,0.10000000000000002
CountMinSketch,20,4870.341949985951,1399.5571693518825,0.7130401134490967,0.0,0.0,0.0
CountSketch,20,446.8857825231807,128.2289681328608,0.2725198268890381,0.0,0.0,0.0
CountMedian,20,260.9315819050295,75.70378562557181,1.420677900314331,0.0,0.0,0.0
MisraGries,50,15.559145827479629,0.9991113820302633,0.04709196090698242,0.4,0.4,0.4000000000000001
CountMinSketch,50,1774.0435515594268,509.9446611195046,0.7045810222625732,0.1,0.1,0.10000000000000002
CountSketch,50,273.52346164652994,79.13292325572746,0.2763991355895996,0.0,0.0,0.0
CountMedian,50,177.06673222815397,52.03060053471344,1.4238190650939941,0.2,0.2,0.20000000000000004
MisraGries,100,15.418656926102837,0.998172031056961,0.04612421989440918,0.7,0.7,0.7
CountMinSketch,100,801.7375667322282,230.7496932288441,0.7000160217285156,0.5,0.5,0.5
CountSketch,100,216.31736442821017,62.581576965253774,0.28017091751098633,0.0,0.0,0.0
CountMedian,100,114.09525147513347,33.51626909441458,1.466728925704956,0.3,0.3,0.3
MisraGries,500,12.99522337735319,0.9790862782203426,0.04047989845275879,1.0,1.0,1.0
CountMinSketch,500,104.5338578252318,30.102230608936953,0.7404618263244629,0.9,0.9,0.9
CountSketch,500,91.92638381567856,27.029221275133672,0.28984880447387695,0.0,0.0,0.0
CountMedian,500,39.92582186007306,11.361952024385326,1.535865068435669,0.8,0.8,0.8000000000000002
MisraGries,1000,9.483000842933409,0.8952182100358373,0.058531999588012695,1.0,1.0,1.0
CountMinSketch,1000,36.56434391683057,10.458391397065247,0.7273318767547607,0.9,0.9,0.9
CountSketch,1000,60.46501826355718,17.383586424100272,0.2866649627685547,0.1,0.1,0.10000000000000002
CountMedian,1000,22.898988479910088,6.536004167577619,1.4722130298614502,0.9,0.9,0.9
